timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662897391932,12,HTTPS Request ya.ru-2,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-3,text,true,,8888,374,5,10,https://ya.ru/showcaptcha?cc=1&mt=366BF5FC877B99E7D6EAD18BAA62C64247F31EDC722E359B6420871309A0A80C&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897391/5d196e8b758183f5f60f24fb306436ee&u=f31ac6a9-1914f31e-6ea6a73-d3c1f23c&s=a62eb8d6df876b5d7227a03c963b7121,12,0,0
1662897391852,92,HTTPS Request ya.ru,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-5,text,true,,11089,590,5,10,https://ya.ru/showcaptcha?cc=1&mt=53C44646D58A774C33569D2E805A17ED3116E966DA55A1B6A2B06206CFCA5206&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897391/2022cabb077548fb9c44ffce531312cd&u=ec1f085-ee45bdd1-5a6d0d48-dd5fb68b&s=83de4c360e5fd311602a27bb782fbdf2,47,0,14
1662897391852,47,HTTPS Request ya.ru-0,301,Moved permanently,jp@gc - Ultimate Thread Group ya.ru 1-5,,true,,1013,108,5,10,http://ya.ru/,47,0,14
1662897391899,33,HTTPS Request ya.ru-1,302,Moved temporarily,jp@gc - Ultimate Thread Group ya.ru 1-5,,true,,1185,108,5,10,https://ya.ru/,33,0,24
1662897391932,12,HTTPS Request ya.ru-2,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-5,text,true,,8891,374,5,10,https://ya.ru/showcaptcha?cc=1&mt=53C44646D58A774C33569D2E805A17ED3116E966DA55A1B6A2B06206CFCA5206&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897391/2022cabb077548fb9c44ffce531312cd&u=ec1f085-ee45bdd1-5a6d0d48-dd5fb68b&s=83de4c360e5fd311602a27bb782fbdf2,12,0,0
1662897391851,105,HTTPS Request ya.ru,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-4,text,true,,11113,591,5,10,https://ya.ru/showcaptcha?cc=1&mt=BE0DB522F2D6BC45F2644BD65A8A697355A5F28DE57106D19A00A3AD501A23C7&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897391/856591194fbe6593a5541f4af102af02&u=80a1fa7e-e853ca07-8692e32d-c297a53f&s=724a7168fad3e2bd78b28515305584c9,45,0,13
1662897391851,45,HTTPS Request ya.ru-0,301,Moved permanently,jp@gc - Ultimate Thread Group ya.ru 1-4,,true,,1013,108,5,10,http://ya.ru/,45,0,13
1662897391896,45,HTTPS Request ya.ru-1,302,Moved temporarily,jp@gc - Ultimate Thread Group ya.ru 1-4,,true,,1186,108,5,10,https://ya.ru/,45,0,32
1662897391941,15,HTTPS Request ya.ru-2,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-4,text,true,,8914,375,5,10,https://ya.ru/showcaptcha?cc=1&mt=BE0DB522F2D6BC45F2644BD65A8A697355A5F28DE57106D19A00A3AD501A23C7&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897391/856591194fbe6593a5541f4af102af02&u=80a1fa7e-e853ca07-8692e32d-c297a53f&s=724a7168fad3e2bd78b28515305584c9,15,0,0
1662897391851,119,HTTPS Request ya.ru,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-1,text,true,,11098,591,5,10,https://ya.ru/showcaptcha?cc=1&mt=044064AAE70A0F2E4574B5DD504D2FA0F19716FC5A5ACCE744FE7A431E48F331&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897391/337797cf8f15e0bdb8aa2e2fbde174e2&u=c0d3f800-35a42612-aa7f3924-176e1e99&s=c7a952f172588b7df642003819778100,74,0,16
1662897391851,74,HTTPS Request ya.ru-0,301,Moved permanently,jp@gc - Ultimate Thread Group ya.ru 1-1,,true,,1014,108,5,10,http://ya.ru/,74,0,16
1662897391925,33,HTTPS Request ya.ru-1,302,Moved temporarily,jp@gc - Ultimate Thread Group ya.ru 1-1,,true,,1186,108,5,10,https://ya.ru/,33,0,21
1662897391958,12,HTTPS Request ya.ru-2,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-1,text,true,,8898,375,5,10,https://ya.ru/showcaptcha?cc=1&mt=044064AAE70A0F2E4574B5DD504D2FA0F19716FC5A5ACCE744FE7A431E48F331&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897391/337797cf8f15e0bdb8aa2e2fbde174e2&u=c0d3f800-35a42612-aa7f3924-176e1e99&s=c7a952f172588b7df642003819778100,12,0,0
1662897394361,39,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-5,text,true,,16998,109,5,10,http://www.ru/,30,0,10
1662897394360,41,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-1,text,true,,16998,109,5,10,http://www.ru/,32,0,10
1662897394360,41,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-2,text,true,,16998,109,5,10,http://www.ru/,34,0,9
1662897394360,43,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-3,text,true,,16998,109,5,10,http://www.ru/,35,0,11
1662897394359,44,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-4,text,true,,16998,109,5,10,http://www.ru/,37,0,10
1662897396859,34,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-2,text,true,,16998,109,5,10,http://www.ru/,27,0,9
1662897396859,36,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-3,text,true,,16997,109,5,10,http://www.ru/,28,0,11
1662897396858,38,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-4,text,true,,16998,109,5,10,http://www.ru/,30,0,9
1662897396859,38,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-5,text,true,,16998,109,5,10,http://www.ru/,32,0,11
1662897396859,39,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-1,text,true,,16998,109,5,10,http://www.ru/,33,0,11
1662897396850,85,HTTPS Request ya.ru,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-2,text,true,,11088,590,5,10,https://ya.ru/showcaptcha?cc=1&mt=FDEDD688AC370D856E2491399CA6944D3F6B6E620DAAD4D7BAD2C6AFBC4DB677&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897396/aea6da1a1b92e0ff857096eea5ed8c33&u=66662545-b56db35a-20e43be5-c767f69&s=eede51529076faef28137aa83455ce34,43,0,15
1662897396850,43,HTTPS Request ya.ru-0,301,Moved permanently,jp@gc - Ultimate Thread Group ya.ru 1-2,,true,,1012,108,5,10,http://ya.ru/,43,0,15
1662897396893,31,HTTPS Request ya.ru-1,302,Moved temporarily,jp@gc - Ultimate Thread Group ya.ru 1-2,,true,,1185,108,5,10,https://ya.ru/,31,0,22
